Product Name,Price,Rating,Reviews
"Apple iPhone 17e 256 GB: 15.40 cm (6.1″) Super Retina XDR display",₹64900,4.1,N/A
"Apple iPhone Air 1 TB: Thinnest iPhone Ever 15.75 cm (6.2″) display",₹141900,3.5,N/A
"iQOO Z10R 5G (Moonstone 8GB RAM 256GB Storage)",₹24999,4.4,N/A
"iQOO Z10 Lite 5G (Titanium Blue 2026 4GB RAM 128GB Storage)",₹14999,4.2,N/A
"Samsung Galaxy M07 Mobile (Black 4GB RAM 64GB Storage)",₹9999,4.2,N/A
"iQOO Z11x 5G (Titan Black 6GB RAM 128GB Storage)",₹22999,4.2,N/A
"realme NARZO 80 Pro 5G (Speed Silver 8GB+256GB Storage)",₹23999,4.3,N/A
"Samsung Galaxy M17 5G Mobile (Moonlight Silver 4GB RAM 128GB Storage)",₹14499,4.0,N/A
"Samsung Galaxy M17e 5G Mobile (Vibe Violet 4GB RAM 128GB Storage)",₹13499,3.8,N/A
"Samsung Galaxy M56 5G Mobile (Black 8GB RAM 256GB Storage)",₹23499,4.3,N/A
